,Carb,Protein,Lipid,Pigments,EPS,Ash_Unknown
Carb,1.0,-0.5584370414971517,0.6194291603458473,-0.8044828808715092,0.7693231581940106,-0.041736763614018166
Protein,-0.5584370414971517,1.0,0.060558153258958414,0.5013376482521181,-0.6810805563286033,-0.6983406278085273
Lipid,0.6194291603458473,0.060558153258958414,1.0,-0.8035643643804007,0.6207882725829817,-0.396190058459645
Pigments,-0.8044828808715092,0.5013376482521181,-0.8035643643804007,1.0,-0.9649598851504239,0.0286442539523864
EPS,0.7693231581940106,-0.6810805563286033,0.6207882725829817,-0.9649598851504239,1.0,0.13802194629069928
Ash_Unknown,-0.041736763614018166,-0.6983406278085273,-0.396190058459645,0.0286442539523864,0.13802194629069928,1.0
