Condition,PC1,PC2,PC3,PC4,PC5,PC6
BBM_control_pH10,-1.3247901472633994,-0.12242565081484412,0.00222526812887115,-0.1419122659976396,0.012550568234081612,1.2390752295944876e-17
BBM_control_pH9.0,-1.2761216135558682,-0.18775469153879668,0.0005395869433963996,-0.023435152549478915,-0.02065224267922411,1.2390752295945386e-17
BBM_control_pH9.5,-1.3350874118333256,-0.19093915918006243,0.0264085032857609,0.15591858856936416,0.00832009253355108,1.2390752295944947e-17
R1_BBM_pH9.0_Alk1.5,0.3052164172223605,0.4439569417739857,-0.21248891289056016,0.0161548349786685,6.273636541466474e-05,1.2390752295945097e-17
R6_BBM_pH9.5_Alk2.5,0.7734450532287217,0.45853718450150766,0.20156752735114153,-0.002179870080376964,-0.0010386100013242976,1.239075229594504e-17
DD_optimum_pH9.5,2.8573377022015123,-0.40137462474178914,-0.018251972818608596,-0.00454613492053724,0.0007574555475018477,1.2390752295945064e-17
