Condition,Carb,Protein,Lipid,Pigments,EPS,Ash_Unknown
BBM_control_pH10,1.1034394796560172,1.9301268921376433,1.0546540297881262,-1.604705012144485,-2.6343244293256434,0.15080903988834038
BBM_control_pH9.0,1.1759086953779063,1.9968892474477364,1.029305221186031,-1.6527694935129187,-2.6082809385403545,0.05894726804160033
BBM_control_pH9.5,1.2339433102974544,2.0302747270926305,0.9888208522644695,-1.5650786690104828,-2.59469808619164,-0.09326213445242981
R1_BBM_pH9.0_Alk1.5,1.4742553266462208,1.3201046468189626,0.9634203123712175,-2.5911298704942145,-1.3881427734930378,0.221492358150853
R6_BBM_pH9.5_Alk2.5,1.205607653579151,1.4492459599562657,0.929347856796845,-2.855400488375358,-0.9089050305529689,0.1801040485960641
DD_optimum_pH9.5,1.5472772871115816,1.6808086797361041,1.5472772871115816,-4.780659496617613,0.006832246164432565,-0.0015360035060840715
